,CustomerID,Invoices,DistinctProducts,Sales,OverallQuantity,SalesPerInvoice,ItemsPerInvoice,DistinctMonths,LastBuyMonths,SalesPerMonth,uniqueWeekdayInovices,uniqueWeekendInovices,WeekendPct
1848,13933,2,23,608.7900000000001,205,304.4,102.5,2,5,304.0,2,0,0.0
3966,16670,11,180,4044.9,2552,367.72,232.0,12,2,337.0,11,0,0.0
971,15142,1,26,498.74,365,498.74,365.0,1,3,499.0,1,0,0.0
2110,12985,2,69,1145.9,1041,572.95,520.5,2,1,573.0,2,0,0.0
1670,14651,2,92,602.9,340,301.45,170.0,6,3,100.0,2,0,0.0
4079,15827,14,69,1727.49,874,123.39,62.43,10,4,173.0,12,2,0.14285714285714285
1200,16926,1,14,230.25,35,230.25,35.0,1,13,230.0,1,0,0.0
2044,12888,2,4,354.12,76,177.06,38.0,3,8,118.0,2,0,0.0
980,13753,1,35,741.26,512,741.26,512.0,1,11,741.0,1,0,0.0
2066,15244,2,31,631.57,405,315.79,202.5,7,3,90.0,2,0,0.0
3894,13081,10,497,25359.5,16568,2535.95,1656.8,12,2,2113.0,10,0,0.0
4186,17068,21,115,4462.89,2157,212.52,102.71,12,2,372.0,17,4,0.19047619047619047
3586,15038,6,103,660.24,210,110.04,35.0,11,3,60.0,1,5,0.8333333333333334
3731,12963,8,73,1792.88,876,224.11,109.5,13,1,138.0,8,0,0.0
1691,14672,2,57,752.8,453,376.4,226.5,4,9,188.0,2,0,0.0
3761,12637,8,203,5702.3,2979,712.79,372.38,10,3,570.0,8,0,0.0
4193,16353,23,51,5725.31,1814,248.93,78.87,13,1,440.0,20,3,0.13043478260869565
1580,14517,2,16,304.95,89,152.48,44.5,5,2,61.0,1,1,0.5
958,13690,1,7,97.5,62,97.5,62.0,1,3,98.0,1,0,0.0
2492,15157,3,124,1851.07,2391,617.02,797.0,13,1,142.0,3,0,0.0
4016,12731,12,100,12381.25,5611,1031.77,467.58,12,2,1032.0,12,0,0.0
